Location,Bedroom,Total-Sqft,Bathroom,Price,Condition
Retreat,1,800,1,150000.00,good
Richland,1,800,1,150000.00,good
Richland Springs,1,800,1,100000.00,good
Rising Star,1,650,1,150000.00,good
Road Runner,1,700,1,200000.00,good
Roaring Springs,1,650,1,100000.00,good
Rochester,1,700,1,100000.00,good
Rocksprings,1,800,1,150000.00,good
Rocky Mound,1,800,1,150000.00,good
Rogers,1,800,1,150000.00,good
Round Mountain,1,650,1,200000.00,good
Round Top,1,700,1,100000.00,good
Rule,1,800,1,150000.00,good
Runge,1,800,1,150000.00,good
San Felipe,1,800,1,200000.00,good
Sanctuary,1,800,1,100000.00,good
Sanford,1,650,1,100000.00,good
Santa Anna,1,700,1,200000.00,good
Santa Rosa,1,650,1,100000.00,good
Scurry,1,700,1,100000.00,good
Shady Shores,1,800,1,100000.00,good
Skellytown,1,800,1,100000.00,good
Smyer,1,800,1,100000.00,good
South Mountain,1,650,1,100000.00,good
South Padre Island,1,700,1,150000.00,good
Springlake,1,800,1,300000.00,good
St. Hedwig,1,800,1,100000.00,good
St. Paul,1,800,1,150000.00,good
Stagecoach,1,800,1,100000.00,good
Streetman,1,650,1,100000.00,good
Sunnyvale,1,700,1,150000.00,good
Talty,1,650,1,150000.00,good
Tehuacana,1,700,1,100000.00,good
Tenaha,1,800,1,100000.00,good
Texline,1,800,1,100000.00,good
Thompsons,1,800,1,100000.00,good
Thornton,1,650,1,100000.00,good
Thorntonville,1,700,1,200000.00,good
Throckmorton,1,800,1,200000.00,good
Tioga,1,800,1,150000.00,good
Tira,1,800,1,100000.00,good
Toyah,1,800,1,100000.00,good
Trent,1,800,1,100000.00,good
Trophy Club,1,800,1,100000.00,good
Valentine,1,650,1,100000.00,good
Van Horn,1,700,1,300000.00,Normal
Wells,1,650,1,200000.00,Normal
Westlake,1,700,1,100000.00,old
Westover Hills,1,800,1,100000.00,good
White Deer,1,800,1,100000.00,good
Whiteface,1,800,1,150000.00,old
Whitewright,1,650,1,200000.00,Normal
Whitney,1,700,1,250000.00,Normal
Wickett,1,800,1,100000.00,good
Windom,1,800,1,200000.00,good
Windthorst,1,800,1,150000.00,good
Winona,1,800,1,150000.00,good
Woodloch,1,800,1,150000.00,good
Woodsboro,1,800,1,150000.00,good
Woodson,1,650,1,200000.00,good
Woodville,1,700,1,100000.00,good
Wortham,1,650,1,150000.00,good
Yantis,1,700,1,100000.00,good
Abbott,1,650,1,150000.00,good
Abernathy,1,700,1,150000.00,good
Abilene,1,800,1,150000.00,good
Ackerly,1,800,1,100000.00,good
Adrian,1,800,1,200000.00,good
Agua Dulce,1,650,1,150000.00,good
Alamo,1,700,1,100000.00,good
Alamo Heights,1,800,1,150000.00,good
Albany,1,800,1,140000.00,good
Aledo,1,800,1,130000.00,good
Alice,1,800,1,170000.00,good
Allen,1,800,1,190000.00,good
Alpine,1,700,1,153200.00,good
Alton,1,800,1,110500.00,good
Alvarado,1,650,1,183200.00,good
Alvin,1,700,1,156100.00,good
Amarillo,1,800,1,106000.00,good
Ames,1,650,1,197200.00,good
Amherst,1,700,1,197200.00,good
Anahuac,1,800,1,75200.00,good
Anderson,1,800,1,170000.00,good
Andrews,1,800,1,199000.00,good
Angleton,1,800,1,150000.00,good
Angus,1,650,1,150000.00,good
Anna,1,700,1,200000.00,good
Anson,1,800,1,250000.00,good
Anton,1,800,1,300000.00,good
Appleby,1,800,1,200000.00,good
Aquilla,1,650,1,100000.00,good
Aransas Pass,1,700,1,250000.00,good
Archer City,1,800,1,300000.00,good
Arcola,1,800,1,300000.00,good
Argyle,1,800,1,100000.00,good
Arlington,1,800,1,100000.00,good
Arp,1,650,1,200000.00,good
Asherton,1,700,1,200000.00,good
Athens,1,650,1,250000.00,good
Atlanta,1,700,1,250000.00,Normal
Aubrey,1,800,1,150000.00,Normal
Aurora,1,800,1,150000.00,old
Austin,1,800,1,200000.00,good
Austwell,1,650,1,150000.00,good
Azle,1,700,1,150000.00,old
Bailey,1,800,1,150000.00,Normal
Baird,1,800,1,150000.00,Normal
Balch Springs,1,800,1,200000.00,good
Balcones Heights,1,800,1,100000.00,good
Ballinger,1,800,1,150000.00,good
Balmorhea,1,800,1,100000.00,good
Bandera,1,800,1,150000.00,good
Bangs,1,650,1,62560.00,good
Bardwell,1,700,1,150000.00,good
Barry,1,650,1,237460.00,good
Barstow,1,700,1,100000.00,good
Bartlett,1,800,1,280000.00,good
Bastrop,1,800,1,150000.00,good
Bay City,1,800,1,150000.00,good
Bayou Vista,1,650,1,150000.00,good
Baytown,1,700,1,150000.00,good
Beach City,1,800,1,150000.00,good
Beasley,1,800,1,150000.00,good
Beaumont,1,800,1,150000.00,good
Beckville,1,800,1,150000.00,good
Bedford,1,800,1,150000.00,good
Bedias,1,800,1,244135.00,good
Bee Cave,1,800,1,150000.00,good
Beeville,1,650,1,150000.00,good
Bellaire,1,700,1,150000.00,good
Bellevue,1,650,1,296122.00,good
Bellmead,1,700,1,150000.00,good
Bellville,1,800,1,100000.00,good
Belton,1,800,1,150000.00,good
Benavides,1,800,1,150000.00,good
Benbrook,1,650,1,150000.00,good
Benjamin,1,700,1,150000.00,good
Bertram,1,800,1,150000.00,good
Beverly Hills,1,800,1,150000.00,good
Bevil Oaks,1,800,1,150000.00,good
Big Lake,1,800,1,150000.00,good
Big Spring,1,800,1,150000.00,good
Big Wells,1,800,1,150000.00,good
Bishop,1,800,1,150000.00,good
Blackwell,1,800,1,150000.00,good
Blanco,1,650,1,150000.00,good
Blossom,1,700,1,150000.00,good
Blue Mound,1,650,1,150000.00,good
Blue Ridge,1,700,1,339863.00,good
Boerne,1,800,1,150000.00,good
Bogata,1,800,1,150000.00,good
Bonham,1,800,1,150000.00,good
Borger,1,650,1,300000.00,good
Bovina,1,700,1,150000.00,good
Bowie,1,800,1,300000.00,Normal
Brackettville,1,800,1,150000.00,Normal
Brady,1,800,1,150000.00,old
Brazoria,1,800,1,150000.00,good
Brazos Country,1,800,1,150000.00,good
Breckenridge,1,650,1,150000.00,old
Bremond,1,700,1,150000.00,Normal
Brenham,1,650,1,150000.00,Normal
Briaroaks,1,700,1,150000.00,good
Bridge City,1,800,1,150000.00,good
Bridgeport,1,800,1,150000.00,good
Brookshire,1,800,1,150000.00,good
Brookside Village,1,650,1,150000.00,good
Browndell,1,700,1,150000.00,good
Brownfield,1,800,1,150000.00,good
Brownsboro,1,800,1,294658.00,good
Brownsville,1,800,1,150000.00,good
Brownwood,1,800,1,150000.00,good
Bruceville-Eddy,1,800,1,100000.00,good
Bryan,1,800,1,150000.00,good
Bryson,1,800,1,100000.00,good
Buda,1,650,1,150000.00,good
Buffalo,1,700,1,150000.00,good
Bulverde,1,650,1,150000.00,good
Bunker Hill Village,1,700,1,150000.00,good
Burkburnett,1,800,1,150000.00,good
Burke,1,800,1,150000.00,good
Burleson,1,800,1,150000.00,good
Burnet,1,650,1,150000.00,good
Burton,1,700,1,150000.00,good
Byers,1,800,1,150000.00,good
Cactus,1,800,1,100000.00,good
Caddo Mills,1,800,1,150000.00,good
Caldwell,1,800,1,150000.00,good
Callisburg,1,800,1,150000.00,good
Calvert,1,650,1,100000.00,good
Cameron,1,700,1,150000.00,good
Camp Wood,1,650,1,100000.00,good
Campbell,1,700,1,150000.00,good
Canadian,1,800,1,150000.00,good
Canton,1,800,1,150000.00,good
Canyon,1,800,1,150000.00,good
Carmine,1,650,1,150000.00,good
Carrizo Springs,1,700,1,300000.00,good
Carrollton,1,800,1,100000.00,good
Carthage,1,800,1,100000.00,good
Cashion Community,1,800,1,300000.00,good
Castle Hills,1,800,1,100000.00,good
Castroville,1,800,1,100000.00,good
Cedar Hill,1,800,1,100000.00,good
Cedar Park,1,650,1,150000.00,good
Celeste,1,700,1,65920.00,good
Celina,1,650,1,150000.00,good
Center,1,700,1,150000.00,good
Centerville,1,800,1,150000.00,good
Chandler,1,800,1,100000.00,Normal
Channing,1,800,1,150000.00,Normal
Charlotte,1,650,1,150000.00,old
Chico,1,700,1,150000.00,good
Childress,1,800,1,150000.00,good
Chillicothe,1,800,1,150000.00,old
China,1,800,1,100000.00,Normal
Chireno,1,800,1,150000.00,Normal
Cibolo,1,650,1,150000.00,good
Cisco,1,700,1,100000.00,good
Clarendon,1,650,1,200000.00,good
Clarksville,1,700,1,150000.00,good
Clarksville City,1,800,1,100000.00,good
Claude,1,800,1,150000.00,good
Clear Lake Shores,1,800,1,100000.00,good
Cleburne,1,650,1,150000.00,good
Cleveland,1,700,1,150000.00,good
Clifton,1,800,1,150000.00,good
Clute,1,800,1,100000.00,good
Clyde,1,800,1,200000.00,good
Cockrell Hill,1,800,1,100000.00,good
Coldspring,1,650,1,200000.00,good
Coleman,1,700,1,100000.00,good
College Station,1,650,1,200000.00,good
Colleyville,1,700,1,150000.00,good
Colmesneil,1,800,1,100000.00,good
Colorado City,1,800,1,100000.00,good
Columbus,1,800,1,150000.00,good
Comanche,1,650,1,200000.00,good
Combine,1,700,1,100000.00,good
Commerce,1,800,1,100000.00,good
Conroe,1,800,1,100000.00,good
Converse,1,800,1,150000.00,good
Cool,1,800,1,150000.00,good
Cooper,1,800,1,100000.00,good
Coppell,1,650,1,150000.00,good
Copperas Cove,1,700,1,200000.00,good
Corinth,1,650,1,100000.00,good
Corpus Christi,1,700,1,100000.00,good
Corsicana,1,800,1,150000.00,good
Cottonwood,1,800,1,150000.00,good
Cottonwood Shores,1,800,1,150000.00,good
Cotulla,1,650,1,200000.00,good
Coupland,1,700,1,100000.00,good
Cove,1,800,1,150000.00,good
Covington,1,800,1,150000.00,good
Coyote Flats,1,800,1,200000.00,good
Crandall,1,800,1,100000.00,good
Crane,1,650,1,100000.00,good
Cranfills Gap,1,700,1,200000.00,good
Creedmoor,1,650,1,100000.00,good
Cresson,1,700,1,100000.00,good
Crockett,1,800,1,100000.00,good
Crosbyton,1,800,1,100000.00,good
Crowell,1,800,1,100000.00,good
Crowley,1,650,1,100000.00,Normal
Crystal City,1,700,1,150000.00,Normal
Cuero,1,800,1,300000.00,old
Cumby,1,800,1,100000.00,good
Cushing,1,800,1,150000.00,good
Cut and Shoot,1,800,1,100000.00,old
Daingerfield,1,650,1,100000.00,Normal
Daisetta,1,700,1,150000.00,Normal
Dalhart,1,650,1,150000.00,good
Dallas,1,700,1,100000.00,good
Dalworthington Gardens,1,800,1,100000.00,good
Danbury,1,800,1,100000.00,good
Dayton,1,800,1,100000.00,good
Dayton Lakes,1,650,1,100000.00,good
De Kalb,1,700,1,200000.00,good
De Leon,1,800,1,200000.00,good
Dean,1,800,1,150000.00,good
Decatur,1,800,1,100000.00,good
DeCordova,1,800,1,100000.00,good
Deer Park,1,800,1,100000.00,good
Del Rio,1,800,1,100000.00,good
Dell City,1,650,1,100000.00,good
Denison,1,700,1,300000.00,good
Denton,1,650,1,200000.00,good
Deport,1,700,1,100000.00,good
DeSoto,1,800,1,100000.00,good
Devers,1,800,1,100000.00,good
Devine,1,800,1,150000.00,good
Diboll,1,650,1,200000.00,good
Dickens,1,700,1,250000.00,good
Dickinson,1,800,1,100000.00,good
Dilley,1,800,1,200000.00,good
Dimmitt,1,800,1,150000.00,good
Donna,1,800,1,150000.00,good
Dorchester,1,800,1,150000.00,good
Double Horn,1,800,1,150000.00,good
Dripping Springs,1,650,1,200000.00,good
Driscoll,1,700,1,100000.00,good
Dublin,1,650,1,150000.00,good
Dumas,1,700,1,100000.00,good
Duncanville,1,650,1,150000.00,good
Eagle Lake,1,700,1,150000.00,good
Eagle Pass,1,800,1,150000.00,good
Early,1,800,1,100000.00,good
Earth,1,800,1,200000.00,good
East Bernard,1,650,1,150000.00,good
East Mountain,1,700,1,100000.00,good
East Tawakoni,1,800,1,150000.00,good
Eastland,1,800,1,140000.00,good
Easton,1,800,1,130000.00,good
Ector,1,800,1,170000.00,good
Edcouch,1,800,1,190000.00,good
Eden,1,700,1,153200.00,good
Edinburg,1,800,1,110500.00,good
Edna,1,650,1,183200.00,good
Edom,1,700,1,156100.00,Normal
El Campo,1,800,1,106000.00,Normal
El Cenizo,1,650,1,197200.00,old
El Lago,1,700,1,197200.00,good
El Paso,1,800,1,75200.00,good
Eldorado,1,800,1,170000.00,old
Electra,1,800,1,199000.00,Normal
Elgin,1,800,1,150000.00,Normal
Ellinger,1,650,1,150000.00,good
Elmendorf,1,700,1,200000.00,good
Elsa,1,800,1,250000.00,good
Emory,1,800,1,300000.00,good
Encinal,1,800,1,200000.00,good
Ennis,1,650,1,100000.00,good
Escobares,1,700,1,250000.00,good
Euless,1,800,1,300000.00,good
Eureka,1,800,1,300000.00,good
Eustace,1,800,1,100000.00,good
Everman,1,800,1,100000.00,good
Fair Oaks Ranch,1,650,1,200000.00,good
Fairfield,1,700,1,200000.00,good
Falfurrias,1,650,1,250000.00,good
Falls City,1,700,1,250000.00,good
Farmers Branch,1,800,1,150000.00,good
Farmersville,1,800,1,150000.00,good
Farwell,1,800,1,200000.00,good
Fate,1,650,1,150000.00,good
Fayetteville,1,700,1,150000.00,good
Ferris,1,800,1,150000.00,good
Florence,1,800,1,150000.00,good
Floresville,1,800,1,200000.00,good
Floydada,1,800,1,100000.00,good
Follett,1,800,1,150000.00,good
Forest Hill,1,800,1,100000.00,good
Forney,1,800,1,150000.00,good
Forsan,1,650,1,62560.00,good
Fort Stockton,1,700,1,150000.00,good
Fort Worth,1,650,1,237460.00,good
Franklin,1,700,1,100000.00,good
Fredericksburg,1,800,1,280000.00,good
Freeport,1,800,1,150000.00,good
Freer,1,800,1,150000.00,good
Friendswood,1,650,1,150000.00,good
Friona,1,700,1,150000.00,good
Frisco,1,800,1,150000.00,good
Fritch,1,800,1,150000.00,good
Frost,1,800,1,150000.00,good
Fruitvale,1,800,1,150000.00,good
Fulshear,1,800,1,150000.00,good
Gainesville,1,800,1,244135.00,good
Galena Park,1,800,1,150000.00,good
Gallatin,1,650,1,150000.00,good
Galveston,1,700,1,150000.00,good
Ganado,1,650,1,296122.00,good
Garden Ridge,1,700,1,150000.00,good
Garland,1,800,1,100000.00,Normal
Garrison,1,800,1,150000.00,Normal
Gary City,1,800,1,150000.00,old
Gatesville,1,650,1,150000.00,good
George West,1,700,1,150000.00,good
Georgetown,1,800,1,150000.00,old
Gholson,1,800,1,150000.00,Normal
Giddings,1,800,1,150000.00,Normal
Gilmer,1,800,1,150000.00,good
Gladewater,1,800,1,150000.00,good
Glen Rose,1,800,1,150000.00,good
Glenn Heights,1,800,1,150000.00,good
Godley,1,800,1,150000.00,good
Goldsmith,1,650,1,150000.00,good
Goldthwaite,1,700,1,150000.00,good
Goliad,1,650,1,150000.00,good
Golinda,1,700,1,339863.00,good
Gonzales,1,800,1,150000.00,good
Goodlow,1,800,1,150000.00,good
Goodrich,1,800,1,150000.00,good
Gordon,1,650,1,300000.00,good
Goree,1,700,1,150000.00,good
Gorman,1,800,1,300000.00,good
Graford,1,800,1,150000.00,good
Graham,1,800,1,150000.00,good
Granbury,1,800,1,150000.00,good
Grand Prairie,1,800,1,150000.00,good
Grand Saline,1,650,1,150000.00,good
Grandview,1,700,1,150000.00,good
Granger,1,650,1,150000.00,good
Granite Shoals,1,700,1,150000.00,good
Granjeno,1,800,1,150000.00,good
Grapeland,1,800,1,150000.00,good
Grapevine,1,800,1,150000.00,good
Greenville,1,650,1,150000.00,good
Gregory,1,700,1,150000.00,good
Grey Forest,1,800,1,150000.00,good
Groesbeck,1,800,1,294658.00,good
Groves,1,800,1,150000.00,good
Groveton,1,800,1,150000.00,good
Gruver,1,800,1,100000.00,good
Gun Barrel City,1,800,1,150000.00,good
Gunter,1,800,1,100000.00,good
Hale Center,1,650,1,150000.00,good
Hallettsville,1,700,1,150000.00,good
Hallsburg,1,650,1,150000.00,good
Hallsville,1,700,1,150000.00,good
Haltom City,1,800,1,150000.00,good
Hamilton,1,800,1,150000.00,good
Hamlin,1,800,1,150000.00,good
Hardin,1,650,1,150000.00,good
Harker Heights,1,700,1,150000.00,good
Harlingen,1,800,1,150000.00,good
Hart,1,800,1,100000.00,good
Haskell,1,800,1,150000.00,good
Haslet,1,800,1,150000.00,Normal
Hawk Cove,1,800,1,150000.00,Normal
Hawkins,1,650,1,100000.00,old
Hawley,1,700,1,150000.00,good
Hays,1,650,1,100000.00,good
Hearne,1,700,1,150000.00,old
Heath,1,800,1,150000.00,Normal
Hedley,1,800,1,150000.00,Normal
Hedwig Village,1,800,1,150000.00,good
Helotes,1,650,1,150000.00,good
Hemphill,1,700,1,300000.00,good
Hempstead,1,800,1,100000.00,good
Henderson,1,800,1,100000.00,good
Henrietta,1,800,1,300000.00,good
Hereford,1,800,1,100000.00,good
Hewitt,1,800,1,100000.00,good
Hico,1,800,1,100000.00,good
Hidalgo,1,650,1,150000.00,good
Hideaway,1,700,1,65920.00,good
Higgins,1,650,1,150000.00,good
Highland Haven,1,700,1,150000.00,good
Highland Village,1,800,1,150000.00,good
Hill Country Village,1,800,1,100000.00,good
Hillsboro,1,800,1,150000.00,good
Hilshire Village,1,650,1,150000.00,good
Hitchcock,1,700,1,150000.00,good
Holliday,1,800,1,150000.00,good
Hondo,1,800,1,150000.00,good
Honey Grove,1,800,1,100000.00,good
Hooks,1,800,1,150000.00,good
Horizon City,1,650,1,150000.00,good
Horseshoe Bay,1,700,1,100000.00,good
Houston,1,650,1,200000.00,good
Howardwick,1,700,1,150000.00,good
Hubbard,1,800,1,100000.00,good
Hudson,1,800,1,150000.00,good
Hudson Oaks,1,800,1,100000.00,good
Hughes Springs,1,650,1,150000.00,good
Humble,1,700,1,150000.00,good
Hunters Creek Village,1,800,1,150000.00,good
Huntington,1,800,1,100000.00,good
Huntsville,1,800,1,200000.00,good
Hurst,1,800,1,100000.00,good
Hutchins,1,650,1,200000.00,good
Hutto,1,700,1,100000.00,good
Huxley,1,650,1,200000.00,good
Idalou,1,700,1,150000.00,good
Industry,1,800,1,100000.00,good
Ingleside,1,800,1,100000.00,good
Ingleside on the Bay,1,800,1,150000.00,good
Ingram,1,650,1,200000.00,good
Iola,1,700,1,100000.00,good
Iowa Park,1,800,1,100000.00,good
Iraan,1,800,1,100000.00,good
Iredell,1,800,1,150000.00,good
Irving,1,800,1,150000.00,Normal
Itasca,1,800,1,100000.00,Normal
Ivanhoe,1,650,1,150000.00,old
Jacinto City,1,700,1,200000.00,good
Jacksboro,1,650,1,100000.00,good
Jacksonville,1,700,1,100000.00,old
Jamaica Beach,1,800,1,150000.00,Normal
Jarrell,1,800,1,150000.00,Normal
Jasper,1,800,1,150000.00,good
Jayton,1,650,1,200000.00,good
Jefferson,1,700,1,100000.00,good
Jersey Village,1,800,1,150000.00,good
Jewett,1,800,1,150000.00,good
Joaquin,1,800,1,200000.00,good
Johnson City,1,800,1,100000.00,good
Jolly,1,650,1,100000.00,good
Jonestown,1,700,1,200000.00,good
Josephine,1,650,1,100000.00,good
Joshua,1,700,1,100000.00,good
Jourdanton,1,800,1,100000.00,good
Junction,1,800,1,100000.00,good
Justin,1,800,1,100000.00,good
Karnes City,1,650,1,100000.00,good
Katy,1,700,1,150000.00,good
Kaufman,1,800,1,300000.00,good
Keene,1,800,1,100000.00,good
Keller,1,800,1,150000.00,good
Kemah,1,800,1,100000.00,good
Kemp,1,650,1,100000.00,good
Kempner,1,700,1,150000.00,good
Kendleton,1,650,1,150000.00,good
Kenedy,1,700,1,100000.00,good
Kennard,1,800,1,100000.00,good
Kennedale,1,800,1,100000.00,good
Kerens,1,800,1,100000.00,good
Kermit,1,650,1,100000.00,good
Kerrville,1,700,1,200000.00,good
Kilgore,1,800,1,200000.00,good
Killeen,1,800,1,150000.00,good
Kingsbury,1,800,1,100000.00,good
Kingsville,1,800,1,100000.00,good
Kirby,1,800,1,100000.00,good
Kirbyville,1,800,1,100000.00,good
Knollwood,1,650,1,100000.00,good
Knox City,1,700,1,300000.00,good
Kountze,1,650,1,200000.00,good
Kress,1,700,1,100000.00,good
Krugerville,1,800,1,100000.00,good
Krum,1,800,1,100000.00,good
Kyle,1,800,1,150000.00,good
La Feria,1,650,1,200000.00,good
La Grange,1,700,1,250000.00,good
La Grulla,1,800,1,100000.00,good
La Joya,1,800,1,200000.00,good
La Marque,1,800,1,150000.00,good
La Porte,1,800,1,150000.00,Normal
La Vernia,1,800,1,150000.00,Normal
La Villa,1,800,1,150000.00,old
La Ward,1,650,1,200000.00,good
LaCoste,1,700,1,100000.00,good
Lacy-Lakeview,1,650,1,150000.00,old
Lago Vista,1,700,1,100000.00,Normal
Lake Bridgeport,1,650,1,150000.00,Normal
Lake Dallas,1,700,1,150000.00,good
Lake Jackson,1,800,1,150000.00,good
Lake Worth,1,800,1,100000.00,good
Lakeport,1,800,1,200000.00,good
Lakeway,1,650,1,150000.00,good
Lakewood Village,1,700,1,100000.00,good
Lamesa,1,800,1,150000.00,good
Lampasas,1,800,1,140000.00,good
Lancaster,1,800,1,130000.00,good
Laredo,1,800,1,170000.00,good
Latexo,1,800,1,190000.00,good
Lavon,1,700,1,153200.00,good
League City,1,800,1,110500.00,good
Leakey,1,650,1,183200.00,good
Leander,1,700,1,156100.00,good
Leary,1,800,1,106000.00,good
Leon Valley,1,650,1,197200.00,good
Leona,1,700,1,197200.00,good
Leonard,1,800,1,75200.00,good
Leroy,1,800,1,170000.00,good
Levelland,1,800,1,199000.00,good
Lewisville,1,800,1,150000.00,good
Liberty,1,650,1,150000.00,good
Liberty Hill,1,700,1,200000.00,good
Lindale,1,800,1,250000.00,good
Linden,1,800,1,300000.00,good
Lindsay,1,800,1,200000.00,good
